scheme_code,scheme_name,fund_house,scheme_type,scheme_category,net_asset_value,date
151119,HSBC Low Duration Fund - Regular Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,10.6141,27-10-2023
151120,HSBC Aggressive Hybrid Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,41.0071,27-10-2023
151121,HSBC Aggressive Hybrid Fund - Regular IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,24.312,27-10-2023
151122,HSBC Aggressive Hybrid Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,45.7646,27-10-2023
151123,HSBC Aggressive Hybrid Fund - Direct IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,28.2374,27-10-2023
151124,HSBC Aggressive Hybrid Fund - Regular Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,15.6752,27-10-2023
151125,HSBC Aggressive Hybrid Fund - Direct Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,17.3411,27-10-2023
151126,HSBC Balanced Advantage Fund - Regular IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,17.6142,27-10-2023
151127,HSBC Balanced Advantage Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,34.2247,27-10-2023
151128,HSBC Balanced Advantage Fund - Direct IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,20.3738,27-10-2023
151129,HSBC Balanced Advantage Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,38.754,27-10-2023
151130,HSBC Small Cap Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,66.5254,27-10-2023
151131,HSBC Small Cap Fund - Regular IDCW,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,36.1686,27-10-2023
151132,HSBC Small Cap Fund - Direct IDCW,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,40.4587,27-10-2023
151133,HSBC Small Cap Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,60.935,27-10-2023
151134,HSBC Arbitrage Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,16.944,27-10-2023
151135,HSBC Arbitrage Fund - Direct Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,10.5522,27-10-2023
151136,HSBC Arbitrage Fund - Direct Quarterly IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,11.3219,27-10-2023
151137,HSBC Arbitrage Fund - Regular Quarterly IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,11.0819,27-10-2023
151138,HSBC Arbitrage Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,17.9377,27-10-2023
151140,HSBC Arbitrage Fund - Regular Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,10.4648,27-10-2023
151142,HSBC Business Cycles Fund - Direct Growth,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,29.8691,27-10-2023
151143,HSBC Business Cycles Fund - Regular IDCW,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,19.0752,27-10-2023
151144,HSBC Business Cycles Fund - Regular Growth,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,27.6538,27-10-2023
151145,HSBC Business Cycles Fund - Direct IDCW,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,20.2859,27-10-2023
151146,HSBC Medium Duration Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,19.1403,27-10-2023
151147,HSBC Medium Duration Fund - Regular IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,10.5005,27-10-2023
151148,HSBC Medium Duration Fund - Direct IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,11.394,27-10-2023
151149,HSBC Medium Duration Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,17.7456,27-10-2023
151150,HSBC Medium Duration Fund - Direct Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,12.0518,27-10-2023
151151,HSBC Medium Duration Fund - Regular Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,11.1507,27-10-2023
151156,HSBC NIFTY 50 INDEX FUND - Direct IDCW,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,21.9664,27-10-2023
151157,HSBC NIFTY 50 INDEX FUND - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,21.9665,27-10-2023
151158,HSBC NIFTY 50 INDEX FUND - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,21.6854,27-10-2023
151159,HSBC NIFTY 50 INDEX FUND - Regular IDCW,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,21.6854,27-10-2023
151160,HSBC NIFTY NEXT 50 INDEX FUND - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,19.1263,27-10-2023
151161,HSBC NIFTY NEXT 50 INDEX FUND - Regular IDCW,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,18.8244,27-10-2023
151162,HSBC NIFTY NEXT 50 INDEX FUND - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,18.8243,27-10-2023
151163,HSBC NIFTY NEXT 50 INDEX FUND - Direct IDCW,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,19.1262,27-10-2023
